,H
799,102
800,95
801,94
802,88
803,112
804,125
805,102
806,93
807,93
808,100
809,103
810,92
811,92
812,82
813,89
814,102
815,95
816,111
817,94
818,101
819,99
820,98
821,94
822,89
823,99
824,92
825,95
826,94
827,96
828,83
829,92
830,92
831,89
832,80
833,97
834,96
835,85
836,90
837,84
838,93
839,91
840,99
841,113
842,95
843,103
844,96
845,102
846,96
847,95
848,101
849,101
850,94
851,96
852,96
853,102
854,103
855,94
856,107
857,86
858,93
859,90
860,102
861,92
862,104
863,101
864,95
865,100
866,111
867,106
868,90
869,111
870,90
871,80
872,89
873,91
874,103
875,96
876,89
877,114
878,95
879,82
880,92
881,105
882,97
883,97
884,94
885,111
886,90
887,92
888,93
889,110
890,110
891,90
892,101
893,95
894,101
895,100
896,93
897,102
898,92
899,93
900,97
901,93
902,89
903,93
904,101
905,80
906,104
907,96
908,98
909,90
910,82
911,85
912,97
913,98
914,93
915,103
916,91
917,96
918,99
919,89
920,103
921,106
922,97
923,96
924,89
925,111
926,101
927,102
928,88
929,98
930,113
931,100
932,77
933,87
934,99
935,110
936,94
937,101
938,101
939,98
940,89
941,84
942,108
943,90
944,105
945,92
946,86
947,80
948,77
949,83
950,90
951,80
952,97
953,92
954,82
955,100
956,100
957,91
958,90
959,90
960,86
961,72
962,100
963,107
964,95
965,111
966,90
967,101
968,96
969,91
970,91
971,86
972,88
973,100
974,90
975,105
976,87
977,86
978,89
979,98
980,96
981,93
982,90
983,91
984,83
985,96
986,87
987,99
988,94
989,92
990,97
991,97
992,93
993,89
994,102
995,98
996,100
997,101
998,101
999,101
1000,98
