,H
799,98
800,98
801,103
802,100
803,87
804,99
805,105
806,82
807,103
808,96
809,81
810,105
811,99
812,89
813,87
814,96
815,97
816,105
817,92
818,111
819,96
820,93
821,102
822,100
823,110
824,107
825,97
826,110
827,95
828,105
829,99
830,100
831,95
832,112
833,94
834,98
835,100
836,102
837,101
838,109
839,95
840,106
841,95
842,107
843,99
844,98
845,107
846,87
847,101
848,98
849,105
850,100
851,110
852,105
853,88
854,110
855,101
856,107
857,96
858,91
859,89
860,111
861,108
862,108
863,97
864,104
865,96
866,115
867,94
868,101
869,111
870,104
871,94
872,90
873,93
874,102
875,94
876,98
877,90
878,87
879,108
880,99
881,95
882,92
883,102
884,90
885,94
886,85
887,94
888,104
889,105
890,93
891,101
892,114
893,104
894,101
895,102
896,100
897,92
898,110
899,108
900,96
901,116
902,97
903,90
904,111
905,117
906,86
907,106
908,123
909,112
910,98
911,109
912,101
913,105
914,102
915,98
916,100
917,97
918,114
919,95
920,102
921,113
922,93
923,106
924,117
925,99
926,105
927,99
928,101
929,106
930,101
931,110
932,94
933,112
934,111
935,103
936,98
937,91
938,109
939,92
940,106
941,99
942,99
943,93
944,102
945,100
946,88
947,97
948,95
949,101
950,112
951,99
952,118
953,102
954,108
955,92
956,108
957,97
958,101
959,96
960,90
961,97
962,110
963,118
964,94
965,113
966,104
967,105
968,107
969,102
970,90
971,107
972,99
973,114
974,90
975,108
976,107
977,98
978,104
979,110
980,93
981,110
982,110
983,101
984,110
985,99
986,97
987,102
988,103
989,92
990,88
991,108
992,114
993,95
994,104
995,115
996,87
997,106
998,97
999,99
1000,106
