,H
799,83
800,98
801,90
802,98
803,103
804,96
805,89
806,111
807,92
808,117
809,106
810,94
811,94
812,111
813,99
814,101
815,114
816,96
817,99
818,96
819,92
820,115
821,93
822,106
823,83
824,97
825,94
826,89
827,103
828,106
829,98
830,86
831,115
832,77
833,94
834,111
835,98
836,103
837,102
838,86
839,89
840,98
841,104
842,103
843,108
844,94
845,108
846,104
847,89
848,99
849,94
850,109
851,92
852,84
853,87
854,79
855,106
856,87
857,99
858,98
859,98
860,87
861,92
862,93
863,119
864,109
865,97
866,102
867,111
868,95
869,98
870,103
871,109
872,112
873,98
874,101
875,91
876,97
877,103
878,88
879,104
880,110
881,98
882,106
883,91
884,97
885,116
886,105
887,100
888,97
889,114
890,106
891,92
892,98
893,108
894,83
895,83
896,93
897,104
898,95
899,98
900,107
901,89
902,113
903,112
904,91
905,101
906,86
907,102
908,88
909,91
910,90
911,91
912,106
913,87
914,103
915,97
916,89
917,100
918,107
919,101
920,99
921,83
922,102
923,104
924,110
925,107
926,101
927,102
928,89
929,100
930,84
931,109
932,99
933,101
934,100
935,103
936,101
937,97
938,89
939,97
940,100
941,102
942,108
943,96
944,96
945,97
946,92
947,94
948,99
949,110
950,99
951,101
952,92
953,106
954,99
955,92
956,103
957,98
958,92
959,92
960,95
961,115
962,105
963,90
964,92
965,101
966,79
967,91
968,88
969,96
970,95
971,99
972,97
973,97
974,90
975,101
976,96
977,100
978,104
979,107
980,100
981,104
982,93
983,109
984,100
985,88
986,106
987,95
988,91
989,103
990,94
991,87
992,95
993,89
994,83
995,102
996,84
997,108
998,92
999,94
1000,129
