,H
799,80
800,109
801,92
802,94
803,99
804,96
805,104
806,95
807,105
808,110
809,90
810,108
811,103
812,98
813,98
814,90
815,99
816,91
817,91
818,95
819,99
820,93
821,102
822,107
823,87
824,96
825,84
826,107
827,104
828,82
829,97
830,88
831,89
832,101
833,99
834,106
835,98
836,95
837,98
838,89
839,83
840,98
841,116
842,89
843,98
844,99
845,95
846,96
847,99
848,96
849,77
850,102
851,87
852,107
853,103
854,98
855,96
856,92
857,95
858,101
859,103
860,98
861,91
862,98
863,94
864,85
865,99
866,90
867,114
868,106
869,90
870,103
871,83
872,86
873,89
874,100
875,104
876,91
877,88
878,88
879,109
880,102
881,100
882,82
883,81
884,101
885,90
886,86
887,108
888,105
889,96
890,89
891,104
892,100
893,83
894,104
895,90
896,86
897,95
898,91
899,100
900,102
901,103
902,97
903,79
904,107
905,90
906,93
907,86
908,99
909,106
910,91
911,88
912,102
913,94
914,90
915,107
916,92
917,99
918,113
919,95
920,90
921,101
922,89
923,85
924,94
925,93
926,103
927,94
928,95
929,81
930,89
931,93
932,86
933,80
934,110
935,106
936,94
937,85
938,79
939,94
940,100
941,88
942,81
943,102
944,118
945,90
946,103
947,107
948,95
949,102
950,95
951,110
952,99
953,106
954,91
955,97
956,108
957,89
958,92
959,82
960,94
961,102
962,104
963,74
964,100
965,90
966,80
967,77
968,92
969,97
970,100
971,85
972,92
973,89
974,95
975,89
976,82
977,89
978,86
979,86
980,88
981,87
982,97
983,95
984,102
985,97
986,101
987,96
988,105
989,84
990,104
991,102
992,85
993,89
994,84
995,90
996,101
997,87
998,86
999,86
1000,91
