Apo RMSD,Silymarin RMSD,tadalafil RMSD
1.836030722,3.148451567,3.20471549
1.847282052,3.085347891,3.262830257
1.877542734,3.022348881,3.242868185
1.849616408,2.977484703,3.26247263
1.768148065,3.032454014,3.556905985
1.775476694,3.01614213,3.470346689
1.772050858,2.90329957,3.536053896
1.738590121,2.922860861,3.643644333
1.811882496,2.930333853,3.620254755
1.851258397,2.825139284,3.866971731
1.819859624,2.964991331,4.081502438
1.823112249,2.897219419,4.314370155
1.893408418,2.89175272,4.337055206
1.902495265,2.882835627,4.406551838
1.952321291,2.957141161,4.305960655
1.954950452,3.037300825,4.377684116
1.962161541,2.985938311,4.309854031
1.91569674,3.076719284,4.27154398
1.907121301,3.116671085,4.086889267
1.932331562,3.054587126,4.095004559
1.947790146,3.027812004,3.748948336
1.960206747,3.201771021,3.930464268
1.96091938,3.235400677,3.999071121
1.897899985,3.378200531,4.103123188
1.907825708,3.24536252,4.04470396
1.900759697,3.375488043,4.030492306
1.941040754,3.315759897,3.983779192
1.988317132,3.26914835,3.831691265
2.003577709,3.318636179,3.729912996
2.043983936,3.361136436,3.85272789
2.033847094,3.321684122,3.894317627
2.039105415,3.117329359,3.828903437
2.040651798,3.20305419,3.933261871
2.020607233,3.289737701,3.936581373
1.934153199,3.385177135,3.719027281
1.986851692,3.324537992,3.796280861
1.887928605,3.130078077,3.975875139
1.905496836,3.138180971,3.823768854
1.887412429,3.151611328,4.288698673
1.882561445,3.235528231,4.324489594
1.917751431,3.240418673,4.288297653
1.885654092,3.351600409,4.222097874
1.866192698,3.346787214,4.194909096
1.86256659,3.131278992,4.367098808
1.925657988,3.163469791,4.313417912
1.936009407,3.233993769,4.181603909
1.814097762,3.302850008,4.086530685
1.932690382,3.274024963,4.003627777
1.901805758,3.146860838,3.929336071
1.888661504,3.350483894,3.936715364
1.910089016,3.179449081,3.730437517
1.886823058,3.104276419,3.705196857
1.940773964,3.244681358,3.723309755
1.902409554,3.232318878,3.786840677
1.958179116,3.169618845,3.861650705
1.977821112,3.040171146,3.755500317
2.047255754,3.204544783,3.905731916
2.036008596,3.261091709,3.77676177
2.000076056,3.190918922,4.076507092
2.055710554,3.201499939,3.881915331
1.98035574,3.172878027,4.016497612
1.98129797,3.147829533,4.11908102
1.991856933,3.074300051,4.1735816
2.004917145,3.112631083,3.921011209
1.987129569,3.105428696,4.005925655
2.005335569,3.068094969,4.134178638
1.985174775,3.224201918,4.157988071
2.052412271,3.252624512,3.926024437
2.010683298,3.128853798,4.176101208
2.000031471,3.26492691,4.124379158
2.074971437,3.175100327,3.913729906
2.117195129,3.210373402,4.008220196
2.100185871,3.264400959,3.911772013
2.078887939,3.173477173,4.018972397
2.036977768,3.390423775,3.968254805
2.041172028,3.508074284,4.142859936
2.012651205,3.429629803,4.080311775
1.970175743,3.419075012,4.130968094
2.00151968,3.547938347,4.142362595
1.985596418,3.380819559,4.218846321
2.013297796,3.416508436,4.690718651
2.031873226,3.339789867,4.525113106
2.070448399,3.266718149,4.779768944
2.086038113,3.347247362,4.786273003
1.997040629,3.336001873,4.622560978
2.017261982,3.389346123,4.426889896
2.0785923,3.404509783,4.454527855
2.038951874,3.347277403,4.595172405
2.047971487,3.449497938,4.621917248
1.983520627,3.438670158,4.613001347
2.091057301,3.322690248,4.428236008
2.075721025,3.261417389,4.302766323
2.140554667,3.371808767,4.678461552
2.140880823,3.451183558,4.662962437
2.105697632,3.432557583,4.572649956
2.166985989,3.470682144,4.47696352
2.201127529,3.343086958,4.323479176
2.178015471,3.542327404,4.305778503
2.118653536,3.44707036,4.175054073
2.044107437,3.319065332,4.215606689
2.085562706,3.451960087,4.142825603
2.116340876,3.514695406,4.113648415
2.138873339,3.56111455,3.982141256
2.133235693,3.300095081,4.299170494
2.138083696,3.489159346,4.24907732
2.159216642,3.410987616,4.099107742
2.158401966,3.515018702,4.16669178
2.171609402,3.513752699,4.169754982
2.136620522,3.440443039,4.233512878
2.120659113,3.517660379,4.344635963
2.037192822,3.526741028,4.393614769
2.05617404,3.4797194,4.285615444
2.047466755,3.475224257,4.147842407
2.095986366,3.564521551,4.112874508
2.119496584,3.539655209,3.913838148
2.126057148,3.4585495,3.822667837
2.167366982,3.367403507,3.888312578
2.066752195,3.440177679,4.219698906
2.013592482,3.411579609,4.407276154
2.067883253,3.487559795,4.300845623
2.086717606,3.305620909,4.409692764
2.005941868,3.329993963,4.257806301
2.039968967,3.221118689,4.245804787
2.084976673,3.299209356,4.308320522
2.135095119,3.457826376,4.249376774
2.10676837,3.409765244,4.03862524
2.111077547,3.441432953,3.978721857
2.083810806,3.534806728,3.899730682
2.058898211,3.419134855,4.083518505
2.044607401,3.403937817,4.051534176
2.103242159,3.507723808,4.24228096
2.083441257,3.516001463,4.12796545
2.019887447,3.481215715,4.243009567
1.999634743,3.455626249,4.309484482
1.976558924,3.627893925,4.409784317
1.921940923,3.614382505,4.327269077
1.899221897,3.605254412,4.225439072
1.908567786,3.371293545,4.365846157
1.911629081,3.344709396,4.420237064
1.950901151,3.457167625,4.295238972
1.952775598,3.413011074,4.376026154
1.879820943,3.435636759,4.499746799
1.82959044,3.50178051,4.702561855
1.824016809,3.452027321,4.807158947
1.874805212,3.42608285,4.765626431
1.964773059,3.571377754,4.867944241
1.999000549,3.558628559,5.000315666
1.984312654,3.595375538,5.027050495
2.056667566,3.589950562,4.84230566
2.072338343,3.783456087,4.904064178
2.133869171,3.53177166,4.77247715
2.158192396,3.585461855,4.559532642
2.132177114,3.60188508,4.70508194
2.118637562,3.668082952,4.986564159
2.131495476,3.521643639,4.880252361
2.163588524,3.600294113,5.063833714
2.113075972,3.565332174,5.04547596
2.053395748,3.518804789,4.988039494
2.094936848,3.512069941,5.008029461
2.062225819,3.708139896,4.96386385
2.04361558,3.65664649,5.092861652
2.157297611,3.422073603,5.107946396
2.099670887,3.650116682,4.910239697
2.071983337,3.766691685,4.936386585
2.063117981,3.726353407,4.768919945
2.049569607,3.555707693,4.912297249
2.054348946,3.395562172,4.614838123
2.08521986,3.35713315,4.783262253
2.154282808,3.641085148,4.790575027
2.229576588,3.642043114,4.95289135
2.195725203,3.829097271,4.99552536
2.282026529,3.651107788,5.085205555
2.26940918,3.678677797,4.957081318
2.163695097,3.609730244,5.080675602
2.113515854,3.669595242,4.887794495
2.118274212,3.672570229,4.860203743
2.16734767,3.558738708,4.850470066
2.273959875,3.708670139,4.663107395
2.132614851,3.827729702,4.727715015
2.209753275,3.731362581,4.486569405
2.201914787,3.573628426,4.35565567
2.163278818,3.631463051,4.518763542
2.156064987,3.70840621,4.449205875
2.176953316,3.577767849,4.170324802
2.220081329,3.766457558,4.354948044
2.213607788,3.683210135,4.552710056
2.20245862,3.568029642,4.807587147
2.189852953,3.645107985,5.025053024
2.200052261,3.612760305,4.768133163
2.172200441,3.65123105,5.073654175
2.09880662,3.612546921,5.065559864
2.081260443,3.740513325,4.991728306
2.113929987,3.645243645,5.034947395
2.147490978,3.687727451,5.203519344
2.092314959,3.732210398,5.166512489
2.055876493,3.662747622,4.982429028
1.992175341,3.740857124,4.887666702
2.118992805,3.814796448,4.673291683
2.196033001,3.689303398,4.863898754
2.171537399,3.548917294,5.023863792
2.086046457,3.702137947,4.837480545
2.093062878,3.808292389,4.668324471
2.135522366,3.687951326,4.676466465
2.173538923,3.652053595,4.843670368
2.153083086,3.78243947,4.628011703
2.162699699,3.880358696,4.883898735
2.161902428,3.931178808,4.719141483
2.126200914,3.949209452,4.724835873
2.148595572,4.022801399,4.615968704
2.209947109,3.919813871,5.10948658
2.156694889,3.822754622,5.114359379
2.258212566,3.840453625,4.990265369
2.218191624,3.964573145,4.860343456
2.159773111,3.911894083,4.847405434
2.180090427,3.924534559,4.922512054
2.11251545,3.939021826,4.864306927
2.048307896,3.746822119,4.975849152
2.049963951,3.887264013,4.946276665
2.099087954,3.668863535,5.064668179
2.115990639,3.745801926,5.279433727
2.180870771,3.643552542,5.161591053
2.149548531,3.745930433,5.254930973
2.118234396,3.856892347,5.27701807
2.104599953,3.670881748,5.37637949
2.123105288,3.952796936,5.435481071
2.148684978,3.796761274,5.145368099
2.11343956,3.901212692,5.141197205
2.196529865,3.867199898,5.007256508
2.126685619,3.845779181,4.959587097
2.147271156,3.699581146,4.973464966
2.146122456,3.755518913,5.132474422
2.150870323,3.700781822,5.159471035
2.103181124,3.690304756,5.08672142
2.086225748,3.671729326,4.999382973
2.181152105,3.771634817,5.279076099
2.160367012,3.667031527,5.146879196
2.219307184,3.905692577,5.104676723
2.239012957,3.737806797,5.059560299
2.238707542,3.608029842,4.746126652
2.235666513,3.7202878,4.856047153
2.230442286,3.836000204,4.753160954
2.205609322,3.71174264,4.860323429
2.274573803,3.72261548,4.465685844
2.343664169,3.712928295,4.372028351
2.383950233,3.702874184,4.800320148
2.335569143,3.784363985,4.821895123
2.279578686,3.733629704,4.691647053
2.307895184,3.845451355,4.774897099
2.324945211,3.612649679,4.679782867
2.232816696,3.605175972,4.903131962
2.280061007,3.652552366,5.19972229
2.339170218,3.630576372,5.313798904
2.408850193,3.666720629,5.214024544
2.40843749,3.635038137,5.302796841
2.430156469,3.686110735,5.141286373
2.377513647,3.430565596,5.155831814
2.35758996,3.39238286,5.306138039
2.372487307,3.474174976,5.447780132
2.359441042,3.626586199,5.469783306
2.393069029,3.757496834,5.114095688
2.363458395,3.649703026,5.370090961
2.378220081,3.674251556,5.174629688
2.388452291,3.730013847,5.322356701
2.362803221,3.647948027,5.527194023
2.316338062,3.655893564,5.192818165
2.359740734,3.905252934,5.326429844
2.33897686,3.784253836,5.397218227
2.285740137,3.773015738,5.264821053
2.20034647,3.651591301,5.302957535
2.277989149,3.566108704,5.120668411
2.324286461,3.637825489,5.167160511
2.271433115,3.780251503,4.915467262
2.310388327,3.671687603,4.855296612
2.290339231,3.691801786,4.802341938
2.26527071,3.624153614,4.925440311
2.214542389,3.614324093,5.112517357
2.248827696,3.616083622,4.933804989
2.31521225,3.481005669,5.249313831
2.357552767,3.601654053,4.934376717
2.325518131,3.513846397,4.877697945
2.266988993,3.687569618,4.670145512
2.27170825,3.684492111,4.714187145
2.347206593,3.777186394,4.586017132
2.297733545,3.733319521,4.767659187
2.377198458,3.574011803,4.821935177
2.355062485,3.734036207,4.943934917
2.258677006,3.638493538,4.690118313
2.235642195,3.69106102,4.830585003
2.154044867,3.702749729,4.717630386
2.175439119,3.858300924,4.907306194
2.132275581,3.898177624,4.819019318
2.236905336,3.752593756,5.071880341
2.200097799,3.718021393,4.754191875
2.213619709,3.870826006,4.797885418
2.199445486,3.751774788,4.850985527
2.275974989,3.80856204,4.740156174
2.317018747,3.75195384,4.956067085
2.295684576,3.825006008,4.658694267
2.241452456,3.751825571,4.603695869
2.291985035,3.825834036,4.668581486
2.269990683,3.68639636,4.693561077
2.289662123,3.672903776,4.721712112
2.269331455,3.94998765,4.887989998
2.223548889,3.930341244,4.861863613
2.145209312,3.832271576,4.95223999
2.213541508,3.836656332,5.026164055
2.20028758,3.758381128,4.772894859
2.171373129,4.01537323,5.075361252
2.156660318,4.088375568,5.110221863
2.164989948,4.184898376,5.018555164
2.115547657,4.138294697,4.959605694
2.07232976,4.160902023,4.995223522
2.098976851,3.85677886,4.997311115
2.083907127,3.817560673,4.80141449
2.043518782,3.823047638,4.876637459
1.98146224,3.716790676,5.009063721
2.023078918,3.766277075,4.666028976
1.984692097,3.819397449,4.695737839
1.981631637,3.812995911,4.791971207
2.000974417,3.841552019,4.934830189
1.986295462,3.833076477,4.756492615
2.063699961,3.983721495,4.766791821
2.073492289,3.767852545,4.925301552
2.087415218,3.903626919,4.787881374
2.037021637,3.900927067,4.648437023
2.078378439,3.983605385,4.624971867
2.110583544,3.888370037,4.66008997
2.073821068,3.814439774,4.771589756
2.03439188,3.772995472,4.737400532
2.036849737,3.696107388,4.876387596
2.026865959,3.590218067,4.968005657
2.016153812,3.687663794,5.0955019
1.981049538,3.762524366,5.149961472
1.990170121,3.717748165,5.093108654
2.011883497,3.945811987,4.972065449
2.011759281,3.788049221,5.234410286
1.995793104,3.661260366,5.194337368
2.076659203,3.758889198,5.187774181
2.078811646,3.804582119,5.359508514
2.010685205,3.935128927,5.102461815
2.008030653,3.917681456,4.99303484
2.030496359,3.905153751,4.931491852
1.972996473,3.85725975,4.979946136
2.041795254,4.061302662,5.024850845
2.027740955,4.03245163,4.889019012
2.0359447,3.827079773,4.603327751
2.071579218,3.996367216,4.906670094
2.107579708,3.805471897,4.994690418
2.121064425,4.035713673,5.204037666
2.128196239,3.929470539,5.137032032
2.069554806,3.822109222,5.087592125
1.961422205,3.961954832,5.034366608
1.981580853,3.896647215,4.871200085
1.987907648,3.948045015,5.060334206
2.033590555,4.060744286,4.981219292
1.968208313,3.91847682,4.927292824
2.071830988,3.924089909,4.803001881
2.088128567,3.910250902,5.135384083
2.096188068,3.843150854,5.185668945
2.042584896,3.778050661,4.963675022
2.023412466,3.715424776,5.205833912
2.040928841,3.895939589,5.118777752
2.066549778,3.798590183,5.310430527
2.018953085,3.945905209,5.192605495
2.029771805,3.702827692,5.195424557
2.080940008,3.740922928,5.083646774
2.05659461,3.724781752,5.170575142
2.073474407,3.653105497,5.11073494
2.046506166,3.599894524,4.727138042
2.060897112,3.727672338,4.912724495
2.079101563,3.653624296,4.896052361
2.15670228,3.682097197,5.041480064
2.03178215,3.738409758,4.932356358
2.048148155,3.87228775,5.06252861
2.087034464,3.805479288,5.273628235
2.079075575,3.648088455,4.991484642
2.086916924,3.613012791,4.983605862
2.131225586,3.516957045,4.814657211
2.158708096,3.421766043,4.73466444
2.165451765,3.494924784,4.518098354
2.175976753,3.526248693,4.545639992
2.211309195,3.496134281,4.634356976
2.203298807,3.424064636,4.653275967
2.256418705,3.61623764,4.898381233
2.285251856,3.579006195,5.119642735
2.190479994,3.568926811,5.028832912
2.198318958,3.637629986,5.254163265
2.223222017,3.613743544,5.110364914
2.183205128,3.720672846,5.102415085
2.199571371,3.634013414,4.993714809
2.243714809,3.559878826,4.905849934
2.244458675,3.648163795,4.920509815
2.210162163,3.666033268,5.06588316
2.243166208,3.594073534,4.866401196
2.253414392,3.486477137,5.008580208
2.265470266,3.440455437,4.930147171
2.249826908,3.47375989,5.002168655
2.257333517,3.619162798,5.214382648
2.226602554,3.565343142,4.78034687
2.265124559,3.52922821,4.783991337
2.182359219,3.570363045,4.985060692
2.246903419,3.451108694,4.964919567
2.127911091,3.549873114,4.924632549
2.094647408,3.534309387,4.979971409
2.13028574,3.585453033,4.954992294
2.182907581,3.552381039,5.047163963
2.198497057,3.50510478,4.980741024
2.150133371,3.437338591,5.086905479
2.148562431,3.568104029,4.965216637
2.14102459,3.548315763,5.118421555
2.165521383,3.545666456,4.90107584
2.215743542,3.429597139,4.959475517
2.225100517,3.457898855,5.011638641
2.262832403,3.553817034,4.967534542
2.20631218,3.541357756,5.129991055
2.17743063,3.483282566,5.144836903
2.267346144,3.464410305,5.199328423
2.273578167,3.482228279,5.159245491
2.264193535,3.393388271,5.371441841
2.217335701,3.454763174,5.30408144
2.20309329,3.426339388,5.37844944
2.187766314,3.461568117,5.415935516
2.225432873,3.354008913,5.285657883
2.190230131,3.450755835,5.409836769
2.193718195,3.415950298,5.335661888
2.206160069,3.414923191,5.421189308
2.14682126,3.42466712,5.150446892
2.25509572,3.375219345,5.248235703
2.335377216,3.450319529,5.144686699
2.301600218,3.404205084,5.012227058
2.248644352,3.495877504,5.08924675
2.220196962,3.377578259,5.147716522
2.178318262,3.470609426,5.254113674
2.187800169,3.501411915,5.133730412
2.223016024,3.585479498,5.074267864
2.23673892,3.606304169,4.977890491
2.301524401,3.547423601,5.024893761
2.305542946,3.534130812,5.009514809
2.264470816,3.347056627,5.159997463
2.337643147,3.466305494,5.218912601
2.362415314,3.532071829,5.154004574
2.363880396,3.456336498,5.105547428
2.403717756,3.440071583,5.178402424
2.408895254,3.399441957,5.129957199
2.414218187,3.37912178,5.147105694
2.425141811,3.473411083,5.050580502
2.344525099,3.472621679,4.951263905
2.348510265,3.463316917,5.045628071
2.411581993,3.557064772,5.260626793
2.344539881,3.48243475,5.276257992
2.370913506,3.456709623,5.494296074
2.368859768,3.569934368,5.625854492
2.327782631,3.583150864,5.604588985
2.357188225,3.461503744,5.559445858
2.349482059,3.313693523,5.568684578
2.313793898,3.479497671,5.48350668
2.318475246,3.397840738,5.519755363
2.304671526,3.430034161,5.342720509
2.30213356,3.394472837,5.30624342
2.317965508,3.456494808,5.306886673
2.262708664,3.442982435,5.179724693
2.310547352,3.436112642,5.211950302
2.253264189,3.40783,5.292737007
2.315962076,3.496637344,5.565539837
2.276747942,3.46852088,5.402097702
2.252655506,3.491843462,5.146177292
2.263955355,3.505871296,5.302472115
2.204425335,3.435972452,5.413936615
2.22780633,3.481554031,5.543663025
2.217370749,3.483383179,5.516293049
2.158270597,3.486223936,5.602413654
2.206588268,3.534228325,5.731205463
2.200089216,3.545826674,5.69779253
2.134734392,3.492885351,5.734945774
2.08940649,3.411209345,5.426742554
2.117680073,3.535422325,5.481435299
2.037325859,3.47046566,5.482306004
2.050379276,3.530343056,5.587893963
2.093844652,3.606263399,5.592062473
2.115958214,3.54716754,5.586286068
2.119401455,3.641946793,5.590402603
2.114026546,3.608738184,5.668191433
2.069509268,3.558696032,5.584391117
2.057546616,3.652774572,5.401395321
2.119264126,3.63111186,5.506753445
2.142609358,3.580364704,5.528619766
2.147213697,3.682480097,5.289509773
2.136886597,3.76808095,5.145261765
2.117967129,3.683489561,5.405333042
2.047864914,3.634426355,5.062772751
2.022445679,3.780746698,5.016901493
2.058880329,3.628901958,5.005615234
2.036885262,3.78392911,5.038918972
2.064417839,3.694645405,5.174775124
2.063205481,3.698940516,5.255959511
2.081590176,3.769119978,5.105164528
2.122340918,3.626344681,5.319080353
2.143706322,3.663553953,5.18375349
2.166408777,3.769010305,5.240741253
2.204725266,3.575580835,5.061306953
2.192379236,3.616436958,5.144876003
2.167967558,3.681285143,5.244079113
2.098940611,3.774458408,5.31082058
2.13679266,3.589096546,5.127996445
2.153658867,3.593528986,5.065145016
2.094056845,3.587166071,5.23029995
2.106178761,3.615772486,5.360146999
2.094759226,3.590108395,5.31648922
2.12259078,3.53346324,5.429876804
2.109548569,3.359438896,5.323282242
2.104342699,3.603891373,5.334570885
2.12833643,3.662158489,5.419138432
2.15747714,3.560339689,5.452621937
2.198766947,3.656188726,5.273319721
2.224243164,3.568033457,5.472502708
2.165284872,3.560561657,5.48124361
2.16795969,3.628934383,5.416599751
2.145094395,3.62116456,5.314321041
2.15364933,3.614855051,5.370074272
2.181833506,3.755556107,5.294465065
2.185751438,3.665515423,5.351482868
2.161242247,3.562452793,5.205329895
2.15352416,3.576921463,5.232069492
2.226377964,3.482138634,5.385919094
2.173645735,3.690253973,5.503818512
2.18630147,3.685116768,5.472207069
2.098274469,3.548200607,5.314955711
2.172628403,3.663819075,5.510814667
2.162838936,3.748673201,5.548802376
2.187264442,3.646282196,5.544568062
2.183247566,3.655994654,5.591656208
2.16247797,3.59266901,5.510099888
2.17849946,3.628105879,5.577116966
2.098084688,3.600402832,5.552489758
2.193225145,3.618559599,5.241562366
2.146698952,3.678843737,5.308545589
2.120451689,3.560782194,5.259973049
2.07607913,3.689318895,5.269531727
2.001420975,3.614847422,5.306045532
2.004192114,3.593536139,5.05667305
2.021164894,3.641905069,5.038995266
2.009981155,3.573777914,5.124102592
2.004896641,3.670559645,5.002596378
1.983070135,3.672479868,5.049677372
2.037858486,3.669742584,5.113284111
2.066634655,3.568467855,5.188854694
2.042915583,3.61813426,5.255645752
2.033871651,3.484044552,5.297461987
2.035522461,3.653364182,5.22729063
2.041878223,3.583454609,5.329137802
2.053999424,3.584870338,5.376888752
2.090265036,3.508345842,5.278270245
2.118972778,3.502554417,5.362913132
2.058874846,3.488787174,5.336717129
2.055936098,3.574775457,5.33297348
2.103222609,3.59659481,5.360735893
2.13904953,3.522023201,5.291626453
2.154009342,3.520088673,5.386248589
2.082974434,3.513196707,5.383485794
