APO i rad_of_gyr,Silymai rad_of_gyr,Tada i rad_of_gyr
19.45529128,20.07909547,19.98233006
19.51308211,20.16270802,19.97843459
19.45864705,20.11532386,19.96803941
19.42596547,20.21372138,19.96690536
19.48377488,20.1744688,19.9581436
19.45594624,20.07270316,20.2056598
19.4382445,20.16968541,20.1494941
19.42749299,20.11247079,20.09911785
19.42333329,20.11647457,19.90905237
19.47179575,20.01185817,20.06526982
19.48058275,20.03309292,20.06758054
19.47680159,20.04662518,20.18050339
19.45884125,20.1365917,20.05545278
19.51965908,20.19685086,20.13088994
19.47767433,20.09805328,20.11340658
19.48325501,20.13668804,20.04663181
19.45529155,20.0912241,20.01825104
19.4002323,20.27556067,20.02787366
19.3437161,20.01908743,20.05896713
19.46686716,20.19993994,20.09988121
19.51952153,20.26339219,20.16792597
19.52069409,20.11438115,20.21240433
19.42044182,20.12375083,20.01226943
19.46523557,20.23825574,20.03707177
19.41276611,20.26570122,20.02278978
19.4405753,20.28915057,20.13709999
19.46476854,20.29211574,20.02097879
19.50244043,20.26190553,20.28904252
19.45708372,20.20636976,20.16382218
19.44641923,20.12194801,19.9782794
19.42572585,20.04763757,20.03902715
19.44990865,20.19034123,20.05751224
19.40163432,20.17938413,20.11684163
19.44192581,20.22122156,20.07095443
19.43355954,20.24637175,20.07854611
19.47820093,20.25122919,20.16887275
19.43037633,20.15574187,20.12836345
19.39743174,20.2441331,20.13589031
19.44591923,20.1424516,20.06167921
19.43149347,20.0768578,19.99716889
19.47945845,20.11629075,19.89431832
19.41509723,20.24405834,20.06453727
19.42006126,20.21508416,20.07475528
19.45422497,20.19057106,20.04656358
19.41370828,20.27044158,20.06701979
19.37461738,20.18292356,20.10882433
19.40669787,20.11014719,19.99579704
19.45513774,20.18037079,20.00889177
19.42834025,20.24656849,20.02071458
19.48796158,20.25245811,19.96630528
19.44183497,20.23075037,20.09896417
19.56919343,20.34897031,20.08756976
19.53902477,20.25689837,19.95562133
19.48115828,20.08428669,20.03404167
19.50235467,20.11381519,20.01516219
19.46972735,20.13294245,20.14199446
19.46122229,20.05335705,20.28103326
19.44604592,20.01132067,20.1770372
19.44033144,20.20089401,20.07766916
19.58558301,20.09112283,20.13790945
19.47213693,20.19778702,20.11574479
19.45704333,19.95686096,20.19919612
19.5093887,20.07155932,20.04683834
19.46745923,20.08897737,20.05598855
19.45155887,20.13861146,19.94797712
19.41556025,20.215524,19.95505504
19.43002381,20.16620675,19.96977807
19.44516448,20.00664779,19.91145424
19.4305076,20.18362753,19.91009807
19.48112065,20.28595159,19.95160547
19.50674227,20.30200192,19.98963598
19.44371217,20.40088968,19.91012812
19.47050134,20.29268172,19.91758188
19.51866205,20.20802774,20.09746976
19.50461238,20.22048041,19.99141089
19.47228021,20.17347807,20.10710081
19.4190054,20.10156618,20.0469534
19.45776254,20.0322939,19.98863326
19.45507796,20.06418664,20.04752738
19.46080068,20.02616401,19.97525629
19.51544917,20.02071138,19.98693776
19.56257605,19.95073975,19.94299368
19.5302394,20.03742612,20.02742518
19.48199501,20.09393164,20.04037785
19.44264982,20.03453007,19.8623986
19.43738674,20.13696049,20.09321946
19.40029694,19.99542683,20.04816377
19.35107849,20.11564384,20.00562818
19.40175488,20.167279,19.95100421
19.40219128,19.93734302,20.03328139
19.40460027,20.04981628,19.98500209
19.38120128,19.9815785,20.02438886
19.48266515,20.04274266,20.13134933
19.47612468,19.93907256,19.99746662
19.4811425,19.94493418,19.97715745
19.45844872,19.88256781,20.05218218
19.38998527,19.89792323,20.06580836
19.4664821,20.01410009,20.00659185
19.45851667,20.06003459,20.02876591
19.45350211,19.99976456,19.95210275
19.44835316,20.01488971,19.8209507
19.42746678,20.01152668,19.97796653
19.40041953,20.21690425,19.96384763
19.38440803,19.94635576,19.87165784
19.39547923,20.02641583,19.82708944
19.39166255,20.04382987,19.8766275
19.46365284,20.0419176,19.90457877
19.51060923,20.11030292,19.8488245
19.42355466,20.06922825,19.96271253
19.50282863,20.10917956,20.01411756
19.50529282,20.00414735,19.88761662
19.47811153,20.04924917,20.03344595
19.49121751,20.03857352,19.83535718
19.52145495,20.00114976,19.8273399
19.52226126,20.06985755,20.06416309
19.49796243,20.11282952,20.06927487
19.51748308,20.13585997,20.15165625
19.49427769,20.09272738,20.05539742
19.47441686,19.96989003,19.98130149
19.49593338,20.03402442,20.0096026
19.5059066,20.06615056,19.951416
19.48445993,20.09044646,19.96691362
19.48585951,19.97690706,19.88105398
19.46597561,19.86139092,19.88133078
19.44779582,20.07954967,19.90737788
19.4242294,19.98771838,20.07098187
19.42719214,19.95388505,19.92925158
19.49454369,20.10681109,20.0412136
19.53509499,20.12213274,20.18312198
19.48468632,20.1132275,20.04596003
19.47200155,20.11170221,20.06433245
19.46317412,20.15580752,20.06166426
19.44676791,20.22839949,20.11622215
19.52143096,20.17927941,19.98842081
19.44120779,20.01808914,20.03024465
19.51494214,20.0381187,20.14271369
19.46440404,20.07982883,20.16821142
19.46232239,20.06047577,20.1939187
19.47116682,20.1206575,20.27454045
19.45081281,20.10739386,20.21423269
19.41487436,20.06736487,20.2049095
19.39763783,20.02125742,20.29865563
19.39608965,19.96898011,20.18999494
19.41344021,20.00641262,20.27116467
19.46904284,20.14929816,20.20822634
19.4674477,20.06035434,20.37092351
19.40813002,20.07817029,20.25082046
19.45311375,19.9308364,20.39353352
19.45547039,20.07018191,20.31829304
19.41708221,20.15910309,20.39636789
19.4833813,20.11308635,20.44020813
19.46651515,20.15318949,20.33236897
19.47493955,20.07760228,20.4394751
19.48468058,20.06885157,20.29390641
19.4652169,20.12797782,20.21695227
19.54792072,20.06009183,20.29024923
19.54090169,19.91120656,20.18458674
19.5553906,20.09544514,20.36604377
19.49883299,20.13849406,20.36893697
19.48495506,20.07698715,20.34572593
19.58432281,20.0418933,20.22698657
19.52565598,20.09272851,20.12023742
19.45177488,20.175528,20.23266875
19.46010214,20.14527669,20.25505566
19.45930607,20.10762069,20.24282181
19.551641,20.12454358,20.30788339
19.47477217,20.00510826,20.08700981
19.53525387,19.98255482,20.20090227
19.55082283,20.07693313,20.16391416
19.55246785,19.9875279,20.19595227
19.47595488,20.01965059,20.20354895
19.50598711,20.01488714,20.11821422
19.50028337,20.02228062,20.17635164
19.51520042,20.09911874,20.17057222
19.44379322,20.05154463,20.20399636
19.58632247,19.98679792,20.1086533
19.5383429,20.03719015,20.34233026
19.51903428,20.02939889,20.2023057
19.47523252,20.09769939,20.10821048
19.47301711,20.16383691,20.26098369
19.55069849,20.10731658,20.24496756
19.51765196,20.02878817,20.1444395
19.56168958,19.91711908,20.21343795
19.56262936,20.22285411,20.18562286
19.58263927,20.001476,20.00945184
19.51594472,20.03090886,20.03271764
19.54852162,20.07451526,20.11228189
19.5350499,20.06240383,20.19109057
19.54914678,19.99565082,20.20372789
19.56849494,19.99002446,20.19911798
19.5113313,20.011497,20.17957056
19.54645794,20.01947014,20.08280662
19.55227349,20.13564062,20.18393879
19.54487416,20.02613705,20.22744993
19.49925717,20.09210734,20.13725974
19.55524197,20.25915729,20.154642
19.54016837,20.05723448,20.01360252
19.50948366,19.94247164,19.9985116
19.53928088,20.013996,19.99199501
19.52065416,19.9565489,19.92040234
19.47958211,19.9489786,19.96604813
19.4853552,19.997416,19.99796787
19.52298175,20.13389831,20.20283672
19.56362586,20.07576456,20.0779847
19.52933462,19.96476967,20.1351046
19.5466314,19.98484943,20.16512255
19.54364553,20.06597542,20.05993297
19.55935451,20.02497286,20.15779873
19.52759722,20.08179591,20.10600779
19.4833409,20.16138396,20.22927815
19.47694884,20.0701121,20.13194047
19.50873179,20.06935905,20.13433579
19.55445256,20.14502657,20.22404474
19.55618021,20.10825555,20.31289226
19.5442578,20.03891371,20.20313232
19.55993963,20.17964319,20.14113754
19.46764636,20.00131323,20.12781128
19.46241417,20.00450444,20.2332283
19.49809013,19.9413048,20.02369617
19.53709797,19.93602778,20.20584099
19.5507221,20.01417584,20.42715994
19.49646687,20.0484017,20.28863979
19.42715712,20.0644445,20.42407168
19.46855994,20.01207055,20.5429002
19.53460372,20.07069961,20.39299765
19.47085819,20.03001349,20.58249984
19.4960368,20.04937021,20.5397458
19.45427674,19.96614486,20.41181473
19.51402736,20.00010554,20.4859352
19.48115067,19.97877351,20.53126607
19.43845268,20.19570094,20.43353685
19.49159183,20.04657418,20.5821759
19.47594841,20.1469111,20.43899119
19.48234304,20.0855488,20.42120027
19.50381599,20.26023051,20.28781906
19.51072566,20.102518,20.24644287
19.55175458,20.16820821,20.30645157
19.56078561,20.14220152,20.36112409
19.44449617,20.21253473,20.46234486
19.51984739,19.99146856,20.28897478
19.44186891,20.01269599,20.34744527
19.42583154,20.10796497,20.51184397
19.46549124,20.20590019,20.43437721
19.45082932,20.01885076,20.2559328
19.52483425,20.0042493,20.01973559
19.49230878,20.02366935,20.13999051
19.49513882,20.02651556,20.06504893
19.45136774,19.90549655,19.97905605
19.44162032,19.98088894,20.0873253
19.46810226,20.05179793,20.08896359
19.49654834,20.03964008,20.04110862
19.50554627,20.06425969,20.01287169
19.44789257,19.9609527,20.11421175
19.44643976,20.04538881,20.05371799
19.51228496,20.03267356,20.08623343
19.49230774,20.10274935,20.25373425
19.44121001,20.07270853,20.2720735
19.42653395,20.03804589,20.25942664
19.50762989,19.96985874,20.29322957
19.5020785,20.03863948,20.23819726
19.47437343,20.06679678,20.1335305
19.48067607,20.05331506,20.28610284
19.5546753,20.04130508,20.30266307
19.51318641,19.99789353,20.40600389
19.4620384,20.09268849,20.39417193
19.5124998,20.11976158,20.29689568
19.51596576,20.13286069,20.34245846
19.45030354,20.0694771,20.16435283
19.50208389,19.92862449,20.20073552
19.48454746,20.0375701,20.27446779
19.46925487,20.04411789,20.25508988
19.58836863,20.02177499,20.20664447
19.5382171,20.0312079,20.19663376
19.55100809,20.03855059,20.14970594
19.59776111,20.00405574,20.1493122
19.59523749,19.89883732,20.25691321
19.60169201,19.97011847,20.36540587
19.54307395,20.00703985,20.221125
19.53538463,20.02280427,20.27823108
19.5627512,19.99061048,20.46926632
19.52808178,19.96779848,20.26825483
19.46883599,19.8791811,20.30053444
19.50283112,19.96595936,20.13865941
19.54096149,20.03646475,20.18284206
19.46444086,20.0216191,20.23745929
19.48814396,19.99349425,20.24172161
19.49153601,20.03345704,20.25161571
19.53849612,19.9982384,20.40049867
19.47983834,19.98980077,20.25102884
19.47723362,19.96163937,20.37930514
19.48167644,20.02576085,20.33641464
19.44759691,20.06546315,20.26283101
19.51952911,20.09985297,20.41270334
19.51230785,20.19526421,20.50485532
19.49645197,20.00299391,20.45474434
19.51760803,19.93785408,20.27316312
19.49706117,20.03906883,20.25869409
19.50780662,19.92029112,20.19147828
19.46643333,19.95176804,20.18161899
19.47366987,19.8839922,20.13052883
19.49709319,19.81130836,20.11807419
19.46803639,19.89218118,20.18198444
19.48706514,19.89702787,20.19034389
19.50935675,19.96882705,20.28364854
19.4828913,20.02996344,20.28884444
19.47680491,19.94650465,20.28893716
19.50319784,19.88920532,20.24561844
19.51566004,19.88233457,20.32057409
19.53724955,20.01860114,20.23984286
19.53530744,19.99374738,20.25731726
19.5191114,20.00464927,20.10635789
19.46680997,19.95981777,20.16612775
19.54517339,19.96151821,20.05505986
19.54454263,20.03707092,20.11675905
19.53152953,20.04614075,20.1268101
19.55578146,20.05984292,20.11972198
19.55884319,20.0225626,20.09185314
19.56618716,19.99904481,20.21538539
19.51593832,20.12278453,20.10150383
19.53598847,20.0505441,20.23301379
19.53950662,20.01596889,20.16272678
19.49721566,20.08478124,20.16418781
19.54307688,19.9970153,20.17207151
19.56721352,19.95146982,20.1407069
19.54137815,19.93274281,20.22971934
19.56358035,19.92523653,20.12540985
19.52681906,19.9608729,20.26496117
19.55497375,19.95284261,20.25026361
19.52766637,19.80140932,20.30226341
19.58861347,19.8036663,20.28629625
19.63021395,19.80219742,20.27695576
19.55227754,19.9848634,20.20438681
19.49812486,19.87491868,20.26947808
19.50160149,19.87981795,20.30613803
19.51114225,19.90708067,20.2606607
19.52311042,19.77686306,20.17005055
19.48737418,19.80630529,20.22677749
19.52444633,19.87570301,20.1511798
19.53568303,19.85327924,20.25641907
19.4507214,19.85718468,20.29549881
19.49880225,19.79484119,20.1382238
19.46372112,19.7681391,20.12800746
19.43793507,19.82799673,20.11392741
19.39150212,19.87147323,19.93809303
19.4101606,19.88601179,20.04927238
19.4152706,19.92096619,20.06987579
19.47873734,19.91760547,20.08391008
19.48627595,19.91539735,20.11268549
19.49481199,19.8601265,19.9987321
19.46522082,19.95886378,19.95776292
19.45794568,19.9426231,19.96591182
19.51168829,20.03986361,19.96382597
19.43607822,20.08487602,20.06987465
19.4631086,20.05983221,20.12535805
19.47721254,20.05764117,19.99166624
19.52380823,19.86752629,19.9996597
19.51025119,19.91338722,20.03271126
19.50435502,19.93408253,20.2625754
19.56736322,19.87701191,20.15241763
19.57295348,19.85521322,20.15769887
19.49989165,19.89907721,20.1993575
19.57710694,19.78682185,20.20459315
19.58699573,19.93246213,20.12296104
19.53533065,19.85363001,20.14443115
19.57987964,19.99056337,20.2088708
19.5492826,19.97456942,20.10882802
19.55828054,19.97268509,20.14975039
19.54695064,19.92397335,19.93030225
19.51423088,19.94233564,19.97432992
19.46795861,20.06776251,19.90801245
19.5275444,19.99571121,20.01385377
19.53743411,20.21447678,20.07766765
19.52551445,20.14411526,20.02252952
19.46680732,20.01351581,19.98362208
19.5193456,19.80039403,19.97816563
19.52509945,19.88079402,20.08132845
19.46943033,19.99592933,20.20222886
19.43125968,19.82424351,20.23988881
19.54545903,19.88738364,20.12920604
19.49492517,19.89751223,20.14800321
19.49720793,19.89405744,20.19387186
19.49664073,19.97152645,20.18417264
19.50973988,19.88983783,20.07789077
19.53609321,19.95453189,20.09262188
19.55500819,19.90987296,20.17170478
19.51618746,19.84617367,20.23622719
19.48816025,19.85876267,20.14613237
19.50078596,19.76657709,20.12579276
19.56120715,19.79835468,20.18710304
19.55019297,19.91015305,20.07069853
19.54046079,19.92014103,20.06212549
19.48769944,19.83256491,19.99827698
19.50777453,20.00475091,20.03737309
19.51893152,19.77397891,19.93910977
19.49069975,19.87979104,19.89738529
19.50501923,19.86963265,20.04614343
19.50816343,19.84620777,20.08921335
19.51669615,19.72945935,20.00886296
19.50530531,19.75595074,20.02972431
19.55325775,19.71509696,20.0410496
19.51359981,19.81528472,20.17474171
19.50559776,19.78600573,20.28584975
19.52996497,19.8024713,20.28848217
19.50224656,19.79585992,20.33386561
19.53385115,19.79300504,20.19514233
19.4988142,19.78699911,20.30888138
19.43283167,19.74207165,20.23287651
19.49141772,19.91355061,20.22327944
19.48709262,19.8735264,20.23258606
19.49398724,19.89774241,20.07155643
19.51158268,19.82658412,20.12445242
19.49392337,19.81281085,20.06630529
19.48295486,19.86525586,20.20030152
19.57286183,19.91348743,19.99299487
19.57040082,19.88266115,20.00114497
19.54684038,19.98053378,19.9042759
19.54099623,19.95404042,19.84466586
19.52100469,19.8971011,19.87259159
19.5363648,20.02881915,19.87217912
19.60488759,19.88644011,19.84084639
19.62283536,19.78287889,19.99446369
19.55942998,19.79274107,19.76665864
19.60244463,19.86152665,19.90600661
19.63184099,19.8278542,19.87325943
19.58678456,19.87207803,19.96920374
19.6105968,19.74732167,19.85590879
19.59846791,19.83763704,19.95010873
19.5857568,19.783351,19.87405857
19.52000731,19.91981844,20.05884305
19.60685244,19.97574764,20.03144883
19.6039003,19.95506941,19.9172825
19.60391957,19.96377504,20.04662678
19.53863485,19.88370232,19.98890851
19.55340599,19.7777672,20.05459051
19.54296754,19.8896659,20.15912044
19.53882257,20.01731893,20.02421804
19.56678417,19.90595008,20.02192036
19.58474321,19.80199201,20.07930327
19.62973002,19.8679636,20.0408624
19.64575601,20.0184028,19.86261023
19.6539114,19.90597043,19.84896359
19.59171554,19.85201998,19.82557484
19.58404564,19.73789564,19.86077644
19.6128253,19.73189923,19.91523507
19.59437048,19.71692521,19.90252973
19.5900684,19.70482151,20.07511249
19.6551441,19.8026291,19.91915202
19.60815414,19.83101817,19.9115091
19.60561152,19.89723661,19.94407727
19.60356961,19.87562066,19.93733365
19.54770776,19.97036934,20.00299628
19.54318958,19.91427975,20.04378273
19.59427178,19.93613348,20.0416142
19.6635868,19.86861856,20.00374746
19.62406774,19.76262009,20.05322784
19.58013268,19.8198053,19.97596624
19.61877439,19.81188501,19.93751573
19.58526284,19.80034539,19.81785106
19.57003756,19.72380291,19.82687048
19.61331956,19.81269935,19.86786236
19.63560062,19.93304452,19.76381796
19.65723636,19.87893484,19.79938679
19.6099379,19.91970052,19.64466458
19.66219853,19.94831239,19.7416793
19.63094481,19.86205704,19.82413894
19.71579245,19.86260077,19.74715022
19.62124836,19.85223645,19.72219488
19.65191631,19.86674134,19.72924281
19.61792378,19.87264965,19.75923971
19.66629548,19.90796337,19.69045543
19.543517,19.80350418,19.73255382
19.62372842,19.90309306,19.72659732
19.61103165,19.87717536,19.75811679
19.76161321,19.96034328,19.75814692
19.66598744,19.99627364,19.7142863
19.66383088,19.92320945,19.82112851
19.604799,19.87887652,19.81552902
19.66777354,20.00970866,19.84338008
19.6811608,19.93845807,19.87759201
19.62406613,19.95185826,19.88417489
19.6144383,19.83341445,19.91539404
19.57955355,19.81694388,20.00709497
19.58742306,19.86244363,19.78416825
19.54128102,19.91096556,19.71298382
19.59893124,19.80612666,19.69225001
19.63811352,19.88165849,19.64880789
19.63427083,19.96316808,19.77551389
19.627379,20.02970222,19.62821114
19.622456,19.93084875,19.6207079
19.59297692,19.91275997,19.67544194
19.71325199,20.01425062,19.67219502
19.59706764,19.89432025,19.82629204
19.60456838,19.79272542,19.74620233
19.58957165,20.00450808,19.67458865
19.57324563,19.99152142,19.65212697
19.64728254,19.95043976,19.64641099
19.66116316,19.87364129,19.67184789
19.61087752,19.91986185,19.47071146
19.6520583,19.89844926,19.51843356
19.56467755,19.91567334,19.47251004
19.59928936,19.91864107,19.55263551
19.5658166,19.80164919,19.48557334
19.54997864,19.88366667,19.47578953
19.6333539,19.70820909,19.47910252
19.59526698,19.90805254,19.49961526
19.60702725,19.81979056,19.54653588
19.50537274,19.8640921,19.51526206
19.56139588,19.81486683,19.53636546
19.63076702,19.89635123,19.52870413
19.59745264,19.8462589,19.58627304
19.60941494,19.78237418,19.62510762
19.55081037,19.91621331,19.72204122
19.56143928,19.9120897,19.56672128
19.53349615,19.81140475,19.54887842
19.57762688,19.82964504,19.55416489
19.52422209,19.86333654,19.67698426
19.53079159,19.88989785,19.63737393
19.59478168,20.01119,19.74884979
19.54873482,20.05586603,19.68850651
19.57253969,19.98789196,19.70583836
19.70454068,20.08629483,19.80572786
19.65147472,19.86838113,19.68057756
19.61384871,19.77951551,19.71773833
19.62201477,19.778215,19.79119972
19.59425138,19.79315923,19.8358557
19.56318578,19.87986889,19.73550955
19.57358552,19.86321686,19.78097687
19.65481089,19.87948354,19.82306327
19.58102982,19.88170926,19.71174888
19.59384262,19.81080561,19.69610041
19.64265604,20.0170721,19.75178946
19.61374769,20.01096867,19.86784951
19.57324416,19.93601638,19.82878768
19.62301727,19.99190664,19.84609274
19.5408094,19.93003978,19.99920667
19.49433559,20.02146263,19.84163579
19.59967265,20.03885619,19.76287221
19.69216381,20.01384754,19.80437696
19.67163375,20.01997133,19.91193105
19.59668518,19.95500836,19.85329022
19.6313754,20.08371104,19.89920544
19.58628216,19.93258043,19.93078496
19.61226267,20.04135507,20.01447013
19.65341018,20.07048233,19.9756671
19.57898292,19.95830736,19.98059247
19.51549145,19.83378191,20.01968294
19.64030332,19.97215727,20.02610891
19.57668266,19.97694316,19.84552051
19.6005258,19.90296308,19.95832519
19.57658115,19.89557967,19.91662867
19.55153813,20.04509687,19.81140668
19.53001645,20.04321617,19.87634747
19.55040644,20.00467595,19.99873693
19.48543141,20.06893534,19.89928203
19.51904884,19.94686601,19.87999649
19.46552929,20.11415025,19.81771512
19.45636314,19.95977498,19.89133056
19.50554477,20.07898287,19.80945137
19.59321444,20.08144775,19.84088958
19.52842928,20.07392231,19.78171851
19.54178729,20.15397018,19.83381501
19.55189768,20.2057696,19.74813429
19.5599982,20.17573486,19.73691429
19.54682175,20.13183127,19.75334387
19.58838362,20.18094768,19.89448035
19.51722967,20.08524167,19.84727576
19.52517146,19.97292534,19.85256674
19.50399798,19.93285795,19.80006592
19.56201162,20.14982727,19.90419767
19.55431845,20.02626566,19.77563924
19.52026842,19.95923199,19.75940168
19.44841049,20.03349765,19.72249194
19.46236646,20.03639182,19.80561461
19.47654306,20.00155384,19.84685374
19.51142152,19.99644367,19.79323779
19.48397575,20.10939266,19.72879261
19.49073579,20.0449364,19.67825462
19.52850409,19.97707055,19.66822433
19.48863775,19.89470214,19.71734491
19.49999092,19.79472519,19.73685558
19.53374839,19.94861853,19.81255334
19.52351215,19.89437469,19.64317113
19.54777966,19.98886978,19.7192082
19.51565441,20.00112576,19.67463244
19.56975031,20.00121035,19.80135287
19.57118909,19.89988013,19.73716207
19.51050967,19.93346921,19.63161501
19.57779687,19.90899428,19.61666926
19.55486275,19.96854171,19.68393198
19.48454358,19.86759096,19.63142263
19.5151205,19.90065537,19.5304724
19.58982006,20.01113005,19.53783386
19.52626835,19.91867568,19.60439386
19.4686859,20.03378166,19.69357385
19.49409831,19.96676452,19.70529427
19.4983916,20.00729782,19.75436341
19.46215855,19.9571402,19.68114781
19.54878858,19.98669137,19.64669967
19.51629686,19.88742206,19.79757136
19.54743591,19.91297977,19.83032924
19.6009422,19.8497356,19.83281828
19.57237393,19.88671061,19.74563307
19.52639907,19.89008297,19.88483507
19.53659783,19.95257445,19.79531409
19.59365547,19.93764891,19.65748145
19.5187149,19.8703285,19.69222042
19.55564684,19.83127006,19.68836471
19.60591974,19.97628271,19.59236471
19.63234024,19.82841833,19.62005969
19.58961455,19.82304008,19.59617364
19.55162504,19.87054046,19.63683884
19.52730501,19.86659475,19.66545939
19.57981444,19.85602632,19.69396754
19.53804075,19.75145209,19.70951202
19.53996514,19.73961759,19.58388065
19.61660022,19.78268992,19.54407007
19.47947762,19.77592288,19.66997907
19.53072472,19.85097437,19.56732389
19.55032142,19.82002387,19.62739178
19.56770099,19.86725342,19.65113363
19.54491367,19.8179044,19.56578439
19.54641685,19.81961197,19.76025848
19.52271672,19.84727006,19.55715289
19.57776746,19.84077705,19.52570564
19.59407771,19.7688409,19.6104609
19.57357674,19.7615023,19.60997398
19.63757743,19.86595723,19.60431353
19.5990534,19.97294104,19.47812968
